Elead ID,City,State,Zip,Bought Veh,Bought Veh Model,Bought Veh Trim,Bought Veh Price,Sale Date,Stock#,Vin#
7102517,BRENTWOOD,TN,37027,Mercedes-Benz,C-Class,C63 AMG 2dr Coupe,55890,8/19/17,15363,WDDGJ7HB8FG343641
7102518,SUWANEE,GA,30024,BMW,X3,xDrive28i 4dr All-wheel Drive Sports Activity Vehicle,25391,8/19/17,15629,5UXWX9C56E0D34494
7102521,CARROLLTON,GA,30116,Cadillac,CTS-V,Base 4dr Sedan,13450,8/19/17,15191E,1G6DN57U870195075
7102520,STONE MOUNTAIN,GA,30087,Mercedes-Benz,S-Class,S550 4Dr Rear-Wheel Drive Sedan,36500,8/21/17,15537A,WDDNG7DBXDA496789
7102525,SPRING,TX,77386,Porsche,911,,158990,8/21/17,15487,WP0CD2A96HS178263
7102534,SCOTTSDALE,AZ,85255,Maserati,Ghibli,,48990,8/21/17,15630,ZAM57RSA9G1182227
7102536,LAGUNA BEACH,CA,92651,Aston Martin,DB9,,154391,8/22/17,15482,SCFFDAEM4GGA16918
7102526,SAINT LOUIS,MO,63131,Porsche,Cayenne,S 4dr All-wheel Drive,74000,8/25/17,15574,WP1AB2A25HLA50458
7102527,COLLINSVILLE,IL,62234,Porsche,Boxster,Base 2dr Rear-wheel Drive Convertible,42300,8/25/17,15548,WP0CA2A83ES121627
7102529,ATLANTA,GA,30327,Land Rover,Range Rover,5.0L V8 Supercharged 4dr 4x4 LWB,73990,8/25/17,15638,SALGS3TF8EA181174
7102530,KENNESAW,GA,30144,Porsche,Cayenne E-Hybrid,S 4dr All-wheel Drive,52801,8/25/17,15378,WP1AE2A2XFLA50475
7102539,LAFAYETTE,LA,70503,BMW,650,i xDrive 2dr All-wheel Drive Convertible,75500,8/25/17,15614,WBA6F7C56HD930723
7098361,SPRINGVILLE,AL,35146,Mercedes-Benz,S-Class,S550 4dr Rear-wheel Drive Sedan,53901,8/25/17,15588,WDDUG8CB3FA098202
7101590,SAN MARINO,CA,91108,BMW,428,,35855,8/25/17,15661,WBA3V5C58FP751864
7102528,HINESVILLE,GA,31313,INFINITI,QX80,Base 4dr 4x2,44890,8/26/17,15513,JN8AZ2NF5G9611803
7102531,POWDER SPRINGS,GA,30127,INFINITI,QX60,Base 4dr All-wheel Drive,35500,8/26/17,15508,5N1AL0MM3GC520027
7102532,CUMMING,GA,30041,Toyota,Highlander,,25208,8/26/17,15541A,5TDKKRFHXES006431
7102533,TUSCALOOSA,AL,35404,Mercedes-Benz,E-Class,E350 4dr Rear-wheel Drive Sedan,39690,8/26/17,15301,WDDHF5KB0GB226105
7102542,DENVER,CO,80231,Maserati,GranTurismo,,117000,8/26/17,15550,ZAM45VMA3H0187812
7102535,DELAWARE,OH,43015,BMW,I8,Base 2dr All-wheel Drive Coupe,95401,8/29/17,15572,WBY2Z2C5XFV392383
7102543,MONTROSE,GA,31065,Mercedes-Benz,CLS-Class,CLS400 4dr Rear-wheel Drive Sedan,44990,8/29/17,15609,WDDLJ6FB9FA145083
7102547,LAS VEGAS,NV,89149,Mercedes-Benz,S-Class,S600 4dr Sedan,28990,8/29/17,15658,WDDNG76XX7A077743
7102544,CUMMING,GA,30040,Porsche,Panamera,,81390,8/30/17,15561,WP0BC2A7XEL077018
7093118,MARIETTA,GA,30064,Audi,R8,5.2 (M6) 2dr All-wheel Drive quattro Spyder,83287,8/31/17,15620,WUATNAFG8BN001348
7102540,WARNER ROBINS,GA,31088,BMW,650 Gran Coupe,i 4dr Rear-wheel Drive Sedan,53499,8/31/17,15643,WBA6B2C55FGB99103
7102541,HUNTERSVILLE,NC,28078,Porsche,911,,137600,8/31/17,15631,WP0AD2A9XFS160353
7102545,ACWORTH,GA,30101,Lexus,GS 350,Base 4dr Rear-wheel Drive Sedan,24590,8/31/17,15238A,JTHBE1BL1E5036294
7102548,CLARKSTON,WA,99403,BMW,X5,xDrive35d 4dr All-wheel Drive Sports Activity Vehicle,39391,8/31/17,15469,5UXKS4C57E0C07317
7102572,SEBASTOPOL,CA,95472,Mercedes-Benz,S-Class,S550 4dr Rear-wheel Drive Sedan,58901,8/31/17,15612,WDDUG8CB9FA117903
7101645,WOODBRIDGE,VA,22191,Porsche,911,,79000,8/31/17,15636,WP0AB2A96ES123062
7102549,SPARTA,TN,38583,Jaguar,XJ,XJ Supercharged 4dr Rear-wheel Drive Sedan,67391,9/1/17,15575,SAJWA1CE0GMV92640
7102551,CUMMING,GA,30041,BMW,340,,33010,9/5/17,15457,WBA8B3C5XGK383866
7102553,MARIETTA,GA,30062,Mercedes-Benz,GLE 350,GLE350 4dr All-wheel Drive 4MATIC,51780,9/5/17,15654,4JGDA5HB7HA821535
7102562,MIDLAND,TX,79707,BMW,X5,xDrive50i 4dr All-wheel Drive Sports Activity Vehicle,46399,9/5/17,15293,5UXKR6C56E0C03332
7102554,JONESBORO,GA,30236,BMW,435,i 2dr Rear-wheel Drive Coupe,27700,9/6/17,15663,WBA3R1C50EK190858
7102555,TYRONE,GA,30290,Mercedes-Benz,GLS 450,GLS450 4dr All-wheel Drive 4MATIC,64000,9/7/17,15624,4JGDF6EE3HA805712
7102556,NEWNAN,GA,30265,INFINITI,QX80,,47990,9/8/17,15672,JN8AZ2NF3H9640816
7102557,DECATUR,GA,30030,BMW,528,i 4dr Rear-wheel Drive Sedan,28990,9/8/17,15668,WBA5A5C54ED510386
7102559,CARMEL,IN,46074,Mercedes-Benz,CLS 550,CLS550 4dr All-wheel Drive 4MATIC Sedan,69391,9/8/17,15639,WDDLJ9BB7HA189755
7102558,MURFREESBORO,TN,37127,BMW,228,i 2dr Coupe,19809,9/9/17,15443,WBA1F5C56EV246162
7102560,ATLANTA,GA,30349,Lexus,LS 460,,51282,9/12/17,15603,JTHCL5EF3F5024561
7102570,OOLTEWAH,TN,37363,BMW,X3,xDrive28i 4dr All-wheel Drive Sports Activity Vehicle,30690,9/13/17,15604,5UXWX9C55F0D47612
7102563,ANCHORAGE,AK,99516,Maserati,GranTurismo,,66690,9/14/17,15657,ZAM45VLA2E0089027
7102565,SMYRNA,GA,30082,Porsche,718 Cayman,2dr Coupe,58750,9/14/17,15597,WP0AA2A87HS270649
7102571,BELLEVUE,WA,98008,Bentley,Continental GT,,186391,9/14/17,15582,SCBGJ3ZA0GC052135
7102564,NORCROSS,GA,30071,Porsche,Boxster,Base 2dr Rear-wheel Drive Convertible,41277,9/15/17,15553A,WP0CA2A85EK120253
7102566,GAINESVILLE,GA,30506,BMW,228,i xDrive (A8) 2dr All-wheel Drive Convertible,36300,9/15/17,15485,WBA1L9C57GV324502
7102567,RYDAL,GA,30171,Chevrolet,Camaro,2SS 2dr Convertible,36290,9/15/17,15631A,1G1FH3D77G0153117
7102591,DOUGLASVILLE,GA,30134,BMW,650,i 2dr Rear-wheel Drive Coupe,39790,9/15/17,15618A,WBAYM9C51DDW20404
7100401,ALPHARETTA,GA,30004,BMW,M2,Base 2dr Rear-wheel Drive Coupe,61577,9/16/17,15605,WBS1H9C53HV886962
7102569,ALPHARETTA,GA,30009,Porsche,Panamera,,73500,9/16/17,15584,WP0BC2A75EL077234
7102573,ASHEVILLE,NC,28804,Mercedes-Benz,S-Class,S550 4dr All-wheel Drive 4MATIC Sedan,63000,9/19/17,15635,WDDUG8FB1FA119494
7102574,MORROW,GA,30260,Mercedes-Benz,GL-Class,GL450 4dr All-wheel Drive 4MATIC,13672,9/19/17,15654A,4JGBF71E48A296703
7098509,ALPHARETTA,GA,30022,BMW,650,,43090,9/19/17,15628,WBALZ5C5XCDX64505
7102582,LITTLE ROCK,AR,72207,Porsche,Panamera,,82989,9/20/17,15645,WP0AB2A77GL050540
7102585,OOLTEWAH,TN,37363,Land Rover,Range Rover Evoque,,34500,9/20/17,15664A,SALVP2BG2FH010328
7102575,MIAMI,FL,33129,Ferrari,FF,Base 2dr Coupe,160381,9/21/17,15671,ZFF73SKA3C0188476
7102576,KNOXVILLE,TN,37934,BMW,M5,Base 4dr Rear-wheel Drive Sedan,52740,9/22/17,15577,WBSFV9C56ED592925
7102578,MARIETTA,GA,30067,Porsche,Panamera,,78990,9/22/17,15666,WP0AC2A71EL073032
7102580,CORNELIUS,NC,28031,Mercedes-Benz,SL-Class,SL550 2dr Roadster,52100,9/22/17,15670,WDDJK7DA0DF011714
7102581,PENSACOLA,FL,32514,Mercedes-Benz,GL-Class,GL550 4dr All-wheel Drive 4MATIC,30381,9/22/17,15681,4JGBF8GE8BA714569
7102579,SMYRNA,GA,30080,Audi,A8,L 4.0T 4dr All-wheel Drive quattro LWB Sedan,40590,9/23/17,15587,WAUR2AFD8EN006850
7102583,AUGUSTA,GA,30909,Porsche,911,,80990,9/24/17,15576,WP0AB2A99FS124630
7102584,CHESTERFIELD,MO,63017,Mercedes-Benz,E-Class,E400 4dr All-wheel Drive 4MATIC Sedan,42990,9/25/17,15479,WDDHF6HB0FB115100
7102586,ALPHARETTA,GA,30022,Jaguar,F-TYPE,S (A8) 2dr All-wheel Drive Coupe,63990,9/26/17,15575A,SAJWJ6BV0G8K35112
